site_name,site_code,wmo_id,owner,state,waverider_type,longitude,latitude,timezone,frequency,date_of_installation,water_depth,instrument_model,instrument_maker
Southern Ocean Wave Rider Buoy,SOWRB,,NZ Defence Technology Agency,NZ,Directional,169.05,-52.76,00:00:00,3 hours,27/07/2017,147,Triaxys Directional Wave Buoy,Triaxys
Campbell Island Wave Rider Buoy,CIWRB,,NZ Defence Technology Agency,NZ,Directional,169.05,-52.76,00:00:00,3 hours,02/03/2018,147,Triaxys Directional Wave Buoy,Triaxys
